timestamp,wordpress_apache_up,wordpress_http_rps,wordpress_http_avg_response_seconds,wordpress_http_avg_response_over_2s,wordpress_http_5xx_rate,wordpress_http_4xx_rate,wordpress_http_5xx_ratio,wordpress_apache_cpuload,wordpress_apache_workers_busy,wordpress_apache_workers_idle,wordpress_apache_workers_reply,wordpress_apache_workers_utilization,wordpress_process_cpu_rate,wordpress_process_resident_memory_bytes,wordpress_process_open_fds,wordpress_container_cpu_rate,wordpress_container_memory_working_set_bytes,mariadb_uptime_seconds,mariadb_threads_connected,mariadb_threads_running,mariadb_connection_usage_ratio,mariadb_questions_rate,mariadb_slow_queries_rate,mariadb_aborted_connects_rate,mariadb_innodb_row_lock_time_rate,mariadb_bytes_received_rate,mariadb_bytes_sent_rate,mariadb_innodb_buffer_pool_hit_ratio,k8s_wordpress_container_restarts_rate,k8s_wordpress_unready_containers,k8s_wordpress_non_running_pods,k8s_pods_waiting,k8s_oom_kills,k8s_wordpress_cpu_throttled_seconds_rate,k8s_cpu_throttling_ratio,k8s_wordpress_container_cpu_usage_cores,k8s_wordpress_container_memory_working_set_bytes,wordpress_deployment_available_ratio,wordpress_network_receive_errors_rate,wordpress_network_transmit_errors_rate,target
2026-04-12 14:11:10+00:00,1.0,0.4545454545454545,0.0665,0.0,0.0,0.0,0.0,1.46905,2.0,8.0,1.0,0.2,0.4222657187654011,282028324.5714286,54.92857142857143,0.0349201666055898,377839616.0,2860.0,1.0,1.0,0.0066225165562913,13.49090909090909,0.0,0.0,0.0,4657.64827586207,96013.0827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1261523254767891,0.047103224062767,377839616.0,1.0,0.0,0.0,1
2026-04-12 14:11:20+00:00,1.0,0.4636363636363636,0.0769411764705882,0.0,0.0,0.0,0.0,1.46704,2.0,8.0,1.0,0.2,0.4251065593518086,282387894.85714287,55.142857142857146,0.0332412938332846,377843712.0,2870.0,1.0,1.0,0.0066225165562913,14.018181818181818,0.0,0.0,0.0,4689.889655172415,96920.07241379312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1299412993365117,0.047677591630397,377843712.0,1.0,0.0,0.0,1
2026-04-12 14:11:30+00:00,1.0,0.4726198591229266,0.0890192307692307,0.0,0.0,0.0,0.0,1.46681,1.0,9.0,1.0,0.1,0.4319920832901143,283334948.5714286,56.0,0.0357951949595233,377479168.0,2880.0,1.0,1.0,0.0066225165562913,14.581818181818182,0.0,0.0,0.0,4721.324137931035,97988.33448275864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124415742976323,0.047501543480455,377479168.0,1.0,0.0,0.0,1
2026-04-12 14:11:40+00:00,1.0,0.4727272727272727,0.0974230769230769,0.0,0.0,0.0,0.0,1.46692,1.0,9.0,1.0,0.1,0.4335346730671837,283293988.5714286,56.285714285714285,0.037031604778948,378384384.0,2890.0,1.0,1.0,0.0066225165562913,14.336363636363636,0.0,0.0,0.0,4753.972413793104,98895.57241379312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12317372407274,0.0487417671287272,378384384.0,1.0,0.0,0.0,1
2026-04-12 14:11:50+00:00,1.0,0.5363636363636364,0.1541694915254237,0.0,0.0,0.0,0.0,1.48518,6.0,7.0,1.0,0.4615384615384615,0.4389187607584827,286810697.14285713,56.142857142857146,0.0382060822886605,378380288.0,2900.0,1.0,1.0,0.0066225165562913,16.644925240294626,0.0,0.0,0.0,4897.871935933057,103236.29301516266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1258998835869152,0.0499852433262744,378380288.0,1.0,0.0,0.0,1
2026-04-12 14:12:00+00:00,1.0,0.6454545454545454,0.1895633802816901,0.0,0.0,0.0,0.0,1.5113,6.0,7.0,1.0,0.4615384615384615,0.4485678992344478,288381513.14285713,56.35714285714285,0.0497538615795921,390811648.0,2910.0,1.0,1.0,0.0066225165562913,22.245454545454542,0.0,0.0,0.0,5210.651724137932,113361.90689655174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1260076545491731,0.0536507258299247,390811648.0,1.0,0.0,0.0,1
2026-04-12 14:12:10+00:00,1.0,0.7545454545454545,0.235,0.0,0.0,0.0,0.0,1.54174,6.0,7.0,1.0,0.4615384615384615,0.4478794396710664,288362203.4285714,57.21428571428572,0.0607412261314218,400629760.0,2920.0,1.0,1.0,0.0066225165562913,28.345454545454544,0.0,0.0,0.0,5550.106896551724,123276.2551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333615339698229,0.0573281762977904,400629760.0,1.0,0.0,0.0,1
2026-04-12 14:12:20+00:00,1.0,0.8727272727272727,0.2328124999999999,0.0,0.0,0.0,0.0,1.56093,6.0,7.0,1.0,0.4615384615384615,0.4480982008600351,288383561.14285713,57.5,0.0728477546459702,400973824.0,2930.0,1.0,1.0,0.0066225165562913,34.845454545454544,0.0,0.0,0.0,7188.575862068967,135538.8620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1345642022258816,0.0629271932069195,400973824.0,1.0,0.0,0.0,1
2026-04-12 14:12:30+00:00,1.0,0.9545454545454544,0.2586,0.0,0.0,0.0,0.0,1.58411,6.0,7.0,2.0,0.4615384615384615,0.4510086552447257,288494738.28571427,57.57142857142857,0.0715192374242498,401145856.0,2940.0,2.0,1.0,0.0132450331125827,39.654545454545456,0.0,0.0,0.0,7508.800907096185,147868.62346130097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1311609115591133,0.0628076641280896,401145856.0,1.0,0.0,0.0,1
2026-04-12 14:12:40+00:00,1.0,1.0636363636363635,0.4692051282051283,0.0,0.0,0.0,0.0,1.70552,7.0,7.0,1.0,0.5,0.4399695870021797,288496786.28571427,57.42857142857143,0.1110275767632186,423657472.0,2950.0,2.0,1.0,0.0132450331125827,58.61818181818181,0.0,0.0,0.0,12746.037931034483,162948.56206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1529684842112746,0.0774418628512717,423657472.0,1.0,0.0,0.0,1
